pid,label,creator,contributor,source,respository,papers,location,sourcelink,publisher,_date,rights,_tags,_type,site,school,_sourcetype,,order,layout,collection,thumbnail,manifest,full
wyb035,Wadleigh Way [1984],Wadleigh Junior High School,,,"NYPL, Schomburg Center",Jean Blackwell Hutson Research & Reference Division,Sc Ser.-M .W2437,https://digitalcollections.nypl.org/items/e967dbc0-3665-0134-eac9-00505686a51c,,1984,,"student writing, photographs ",image,wad,Wadleigh Junior High School,,,44,wyb,yb,"/img/derivatives/iiif/images/wyb035/full/250,/0/default.jpg",/img/derivatives/iiif/wyb035/manifest.json,"/img/derivatives/iiif/images/wyb035/full/1140,/0/default.jpg"
wyb036,Wadleigh Way [1986],Wadleigh Junior High School,,,"NYPL, Schomburg Center",Jean Blackwell Hutson Research & Reference Division,Sc Ser.-M .W2437,https://digitalcollections.nypl.org/items/8f350db0-3666-0134-3b4b-00505686a51c,,1986,,"student writing, photographs ",image,wad,Wadleigh Junior High School,,,45,wyb,yb,"/img/derivatives/iiif/images/wyb036/full/250,/0/default.jpg",/img/derivatives/iiif/wyb036/manifest.json,"/img/derivatives/iiif/images/wyb036/full/1140,/0/default.jpg"
wyb037,Wadleigh Way [1985],Wadleigh Junior High School,,,"NYPL, Schomburg Center",Jean Blackwell Hutson Research & Reference Division,Sc Ser.-M .W2437,https://digitalcollections.nypl.org/items/c0109e40-3661-0134-4bff-00505686a51c,,1985,,"student writing, photographs ",image,wad,Wadleigh Junior High School,,,46,wyb,yb,"/img/derivatives/iiif/images/wyb037/full/250,/0/default.jpg",/img/derivatives/iiif/wyb037/manifest.json,"/img/derivatives/iiif/images/wyb037/full/1140,/0/default.jpg"
wyb038,Wadleigh Way [1987],Wadleigh Junior High School,,,"NYPL, Schomburg Center",Jean Blackwell Hutson Research & Reference Division,Sc Ser.-M .W2437,https://digitalcollections.nypl.org/items/157d3750-35ae-0134-723e-00505686a51c,,1987,,"student writing, photographs ",image,wad,Wadleigh Junior High School,,,47,wyb,yb,"/img/derivatives/iiif/images/wyb038/full/250,/0/default.jpg",/img/derivatives/iiif/wyb038/manifest.json,"/img/derivatives/iiif/images/wyb038/full/1140,/0/default.jpg"
wyb039,Wadleigh Way [1969],Wadleigh Junior High School,,,"NYPL, Schomburg Center",Jean Blackwell Hutson Research & Reference Division,Sc Ser.-M .W2437,https://digitalcollections.nypl.org/items/02652ff0-363b-0134-63b3-00505686a51c,,1969,,"student writing, photographs ",image,wad,Wadleigh Junior High School,,,32,wyb,yb,"/img/derivatives/iiif/images/wyb039/full/250,/0/default.jpg",/img/derivatives/iiif/wyb039/manifest.json,"/img/derivatives/iiif/images/wyb039/full/1140,/0/default.jpg"
wyb040,The Owl [June 1944],Wadleigh High School,,,"Yale University, Beinecke Library ",James Weldon Johnson Collection,JWA+ Ow4,https://orbis.library.yale.edu/vwebv/holdingsInfo?searchId=1185&recCount=50&recPointer=0&bibId=3625521,,June 1944,,"student writing, photographs ",image,wad,Wadleigh High School for Girls,pdf,,17,wyb,yb,"/img/derivatives/iiif/images/wyb040_00/full/250,/0/default.jpg",/img/derivatives/iiif/wyb040/manifest.json,
wyb041,The Owl [January 1946],Wadleigh High School,,,"Yale University, Beinecke Library ",James Weldon Johnson Collection,JWA+ Ow4,https://orbis.library.yale.edu/vwebv/holdingsInfo?searchId=1185&recCount=50&recPointer=0&bibId=3625521,,January 1946,,"student writing, photographs ",image,wad,Wadleigh High School for Girls,pdf,,19,wyb,yb,"/img/derivatives/iiif/images/wyb041_00/full/250,/0/default.jpg",/img/derivatives/iiif/wyb041/manifest.json,
wyb042,The Owl [June 1946],Wadleigh High School,,,"Yale University, Beinecke Library ",James Weldon Johnson Collection,JWA+ Ow4,https://orbis.library.yale.edu/vwebv/holdingsInfo?searchId=1185&recCount=50&recPointer=0&bibId=3625521,,June 1946,,"student writing, photographs ",image,wad,Wadleigh High School for Girls,pdf,,20,wyb,yb,"/img/derivatives/iiif/images/wyb042_00/full/250,/0/default.jpg",/img/derivatives/iiif/wyb042/manifest.json,
wyb043,The Owl [June 1949],Wadleigh High School,,,"Yale University, Beinecke Library ",James Weldon Johnson Collection,JWA+ Ow4,https://orbis.library.yale.edu/vwebv/holdingsInfo?searchId=1185&recCount=50&recPointer=0&bibId=3625521,,June 1949,,"student writing, photographs ",image,wad,Wadleigh High School for Girls,pdf,,21,wyb,yb,"/img/derivatives/iiif/images/wyb043_00/full/250,/0/default.jpg",/img/derivatives/iiif/wyb043/manifest.json,
wyb044,The Owl [January1944],Wadleigh High School,,,,,,,,January 1944,,"student writing, photographs ",image,wad,Wadleigh High School for Girls,pdf,,16,wyb,yb,"/img/derivatives/iiif/images/wyb044_43134_b196854-00000/full/250,/0/default.jpg",/img/derivatives/iiif/wyb044/manifest.json,"/img/derivatives/iiif/images/wyb044_43134_b196854-00000/full/1140,/0/default.jpg"
wyb045,The Owl [1945],Wadleigh High School,,,,,,,,1945,,"student writing, photographs ",image,wad,Wadleigh High School for Girls,pdf,,18,wyb,yb,"/img/derivatives/iiif/images/wyb045_43134_b193894-00000/full/250,/0/default.jpg",/img/derivatives/iiif/wyb045/manifest.json,"/img/derivatives/iiif/images/wyb045_43134_b193894-00000/full/1140,/0/default.jpg"
wyb046,The Wadleigh Year Book [1908],Wadleigh High School,,,,,,,,1908,,"student writing, photographs, clubs ",image,wad,Wadleigh High School for Girls,pdf,,0,wyb,yb,"/img/derivatives/iiif/images/wyb046_43134_b208345-00000/full/250,/0/default.jpg",/img/derivatives/iiif/wyb046/manifest.json,"/img/derivatives/iiif/images/wyb046_43134_b208345-00000/full/1140,/0/default.jpg"
wyb047,The Owl [January 1919],Wadleigh High School,,,,,,,,1919,,"student writing, photographs",image,wad,Wadleigh High School for Girls,pdf,,1,wyb,yb,"/img/derivatives/iiif/images/wyb047_1265_b908826-00000/full/250,/0/default.jpg",/img/derivatives/iiif/wyb047/manifest.json,"/img/derivatives/iiif/images/wyb047_1265_b908826-00000/full/1140,/0/default.jpg"
wyb048,The Owl [January 1947],Wadleigh High School,,,,,,,,January 1947,,"student writing, photographs ",image,wad,Wadleigh High School for Girls,pdf,,22,wyb,yb,"/img/derivatives/iiif/images/wyb048_43134_b190356-00000/full/250,/0/default.jpg",/img/derivatives/iiif/wyb048/manifest.json,"/img/derivatives/iiif/images/wyb048_43134_b190356-00000/full/1140,/0/default.jpg"
